市场,资产,年化收益率,波动率,最大回撤,夏普比率
美股,SPY,0.09577169475457636,0.17049432036702,-0.2209483690329358,0.5617295318014722
美股,QQQ,0.11393381480566145,0.22902264621512236,-0.29561759230244583,0.4974783790535837
美股,AAPL,0.09350093533189385,0.2698950978362332,-0.29824778168653815,0.34643435942889295
美股,MSFT,0.09580086153641054,0.2697935564584681,-0.31769818157599156,0.3550895091564505
美股,AMZN,0.06099769833794677,0.36592183821554886,-0.5167587129608371,0.16669597702997885
美股,NVDA,0.6306798261910311,0.5559212739985094,-0.6080154581650359,1.134476868738652
美股,TSLA,-0.098206957708879,0.6162425675272784,-0.7168798434447905,-0.15936412523877103
加密货币,BTC-USD,0.26132193096081147,0.44016777886891084,-0.6673961608979901,0.5936870972980451
加密货币,ETH-USD,-0.12263707601280005,0.5639630216364608,-0.7179438707827269,-0.21745588151673848
商品,GC=F,0.1645326954900066,0.14337269231470123,-0.18135053263323114,1.1475874019918622
商品,CL=F,-0.15699985907474312,0.35218414249171276,-0.4615510632105733,-0.44578912032769186
外汇,EURUSD=X,-0.003762595794509549,0.07914452923665492,-0.14026757444496035,-0.04754081969783129
外汇,USDJPY=X,0.07808808385544341,0.10696907408752383,-0.14749357189349224,0.7300061678719447
